"jahr";"gemnr";"yearmean_pop"
2005;"70301";6502,25
2005;"70302";1982,5
2005;"70303";1421,875
2005;"70304";5305
2005;"70305";1082,375
2005;"70306";1175,125
2005;"70307";1074,625
2005;"70308";1135,875
2005;"70309";1993,75
2005;"70310";4017,875
2005;"70311";659,75
2005;"70312";3737,25
2005;"70313";1208,375
2005;"70314";576,875
2005;"70315";1303,5
2005;"70317";433,375
2005;"70318";1104
2005;"70319";3278
2005;"70320";2554,875
2005;"70322";1432,75
2005;"70323";744,5
2005;"70325";895,5
2005;"70326";2058
2005;"70328";1670,5
2005;"70329";3939,125
2005;"70331";1968,25
2005;"70332";1863,5
2005;"70333";1917,5
2005;"70334";4481,75
2005;"70335";1595,375
2005;"70336";359,125
2005;"70337";2809,375
2005;"70338";893
2005;"70339";939,125
2005;"70340";1064,25
2005;"70342";874
2005;"70343";861
2005;"70344";1151,375
2005;"70345";1457,625
2005;"70346";8523,125
2005;"70347";198
2005;"70348";1278,75
2005;"70349";898,5
2005;"70350";1001,5
2005;"70351";2991,25
2005;"70352";1361,75
2005;"70353";1856,5
2005;"70354";12195,375
2005;"70355";3309,125
2005;"70356";1383,625
2005;"70357";14147,375
2005;"70358";3633,125
2005;"70359";1250,5
2005;"70360";1388,125
2005;"70361";190,125
2005;"70362";548,875
2005;"70364";6636,75
2005;"70365";4309,875
2005;"70366";708,625
2005;"70367";7544,625
2005;"70368";782,5
2005;"70369";6928,875
2005;"70401";1217,375
2005;"70402";2586
2005;"70403";4273,625
2005;"70404";1771,375
2005;"70405";1116,625
2005;"70406";5377,875
2005;"70407";1097,125
2005;"70408";1521,875
2005;"70409";5137,375
2005;"70410";3588,375
2005;"70411";8467,125
2005;"70412";4182,875
2005;"70413";1979,125
2005;"70414";1648,25
2005;"70415";660,75
2005;"70416";8385,625
2005;"70417";1487,125
2005;"70418";758,5
2005;"70419";1838,625
2005;"70420";3469,75
2005;"70501";2529,625
2005;"70502";941,75
2005;"70503";2363,625
2005;"70504";1519,125
2005;"70505";3219,625
2005;"70506";2806,75
2005;"70508";5013,75
2005;"70509";2639,75
2005;"70510";1430,125
2005;"70511";5190,625
2005;"70512";4525,625
2005;"70513";16090,375
2005;"70514";3917,875
2005;"70515";3551
2005;"70516";292,625
2005;"70517";2863,625
2005;"70518";2509,875
2005;"70519";667,125
2005;"70520";2162,875
2005;"70521";429,25
2005;"70522";2659,375
2005;"70523";435,75
2005;"70524";1331,125
2005;"70525";2280,625
2005;"70526";3533,875
2005;"70527";2766
2005;"70528";1692,125
2005;"70529";1784
2005;"70530";4183,125
2005;"70531";11760,625
2005;"70601";289,25
2005;"70602";267,75
2005;"70603";986,5
2005;"70604";2916
2005;"70605";951,75
2005;"70606";837,125
2005;"70607";1311,375
2005;"70608";1738
2005;"70609";2623,5
2005;"70610";337,125
2005;"70611";614,625
2005;"70612";467,25
2005;"70613";536,875
2005;"70614";7587,875
2005;"70615";1635,25
2005;"70616";1473
2005;"70617";2533,125
2005;"70618";790,5
2005;"70619";1734,875
2005;"70620";1305
2005;"70621";2727,75
2005;"70622";1697,5
2005;"70623";1093,25
2005;"70624";1182,625
2005;"70625";143,5
2005;"70626";635,125
2005;"70627";1237,125
2005;"70628";529,25
2005;"70629";688,625
2005;"70630";3341,25
2005;"70701";636,5
2005;"70702";983,375
2005;"70703";356,375
2005;"70704";1337,375
2005;"70705";2011,25
2005;"70706";858,75
2005;"70707";2266,625
2005;"70708";817,625
2005;"70709";788
2005;"70710";1002,125
2005;"70711";605
2005;"70712";1286,375
2005;"70713";870,625
2005;"70714";272,25
2005;"70715";892,125
2005;"70716";12023,625
2005;"70717";4950,75
2005;"70718";862,5
2005;"70719";3191,625
2005;"70720";1453,125
2005;"70721";754
2005;"70723";1255,75
2005;"70724";980,75
2005;"70725";304,25
2005;"70726";771,125
2005;"70727";500,25
2005;"70728";2087,875
2005;"70729";876
2005;"70731";626,25
2005;"70732";1305,75
2005;"70733";268
2005;"70734";2132,625
2005;"70735";1031,125
2005;"70801";684,375
2005;"70802";596,625
2005;"70803";615,25
2005;"70804";819,125
2005;"70805";1574,125
2005;"70806";781,5
2005;"70807";2633,375
2005;"70808";832,125
2005;"70809";388,75
2005;"70810";288,625
2005;"70811";602,375
2005;"70812";66,125
2005;"70813";706
2005;"70814";524,125
2005;"70815";90
2005;"70816";1279,25
2005;"70817";471,25
2005;"70818";316,5
2005;"70819";86,75
2005;"70820";1952,125
2005;"70821";1085
2005;"70822";376,125
2005;"70823";102,375
2005;"70824";442,375
2005;"70825";131,625
2005;"70826";1217,875
2005;"70827";427,375
2005;"70828";5731,125
2005;"70829";414,25
2005;"70830";406,125
2005;"70831";725
2005;"70832";1095,375
2005;"70833";1609
2005;"70834";278,375
2005;"70835";891,875
2005;"70836";1319,625
2005;"70837";239
2005;"70901";2064,625
2005;"70902";1603,875
2005;"70903";350,75
2005;"70904";938,375
2005;"70905";2517
2005;"70907";2710,375
2005;"70908";1533,125
2005;"70909";3602,75
2005;"70910";1261,25
2005;"70911";550,125
2005;"70912";796,25
2005;"70913";441,625
2005;"70914";643,125
2005;"70915";1358,375
2005;"70916";1386,75
2005;"70917";6873,625
2005;"70918";1199,75
2005;"70920";3845,375
2005;"70921";1050,25
2005;"70922";1509,5
2005;"70923";1287,375
2005;"70924";458
2005;"70925";1314
2005;"70926";12521
2005;"70927";1456,875
2005;"70928";1883
2005;"70929";285,75
2005;"70930";829
2005;"70931";1821,75
2005;"70932";780
2005;"70933";2033,75
2005;"70934";1924
2005;"70935";1568,25
2005;"70936";4473,375
2005;"70937";1485,125
2005;"70938";2254
2005;"70939";1870,625
2005;"70940";1822,125
2005;"70941";644,25
2006;"70101";115886,625
2006;"70201";2934,375
2006;"70202";4074,125
2006;"70203";9311,375
2006;"70204";742,75
2006;"70205";985,5
2006;"70206";589,5
2006;"70207";687
2006;"70208";4348,375
2006;"70209";3139,875
2006;"70210";542,375
2006;"70211";1217,125
2006;"70212";2069,75
2006;"70213";1141,625
2006;"70214";2243
2006;"70215";2050
2006;"70216";1626,5
2006;"70217";1499
2006;"70218";1349,25
