C-A10-0;C-C11-0;C-GRGEMAKT-0;C-GALTEJ112-0;F-ISIS-1
A10-2023;C11-1;GRGEMAKT-10201;GALTEJ112-68;12
A10-2023;C11-1;GRGEMAKT-10201;GALTEJ112-69;11
A10-2023;C11-1;GRGEMAKT-10201;GALTEJ112-70;8
A10-2023;C11-1;GRGEMAKT-10201;GALTEJ112-71;11
A10-2023;C11-1;GRGEMAKT-10201;GALTEJ112-72;15
A10-2023;C11-1;GRGEMAKT-10201;GALTEJ112-73;10
A10-2023;C11-1;GRGEMAKT-10201;GALTEJ112-74;12
A10-2023;C11-1;GRGEMAKT-10201;GALTEJ112-75;18
A10-2023;C11-1;GRGEMAKT-10201;GALTEJ112-76;14
A10-2023;C11-1;GRGEMAKT-10201;GALTEJ112-77;5
A10-2023;C11-1;GRGEMAKT-10201;GALTEJ112-78;4
A10-2023;C11-1;GRGEMAKT-10201;GALTEJ112-79;7
A10-2023;C11-1;GRGEMAKT-10201;GALTEJ112-80;4
A10-2023;C11-1;GRGEMAKT-10201;GALTEJ112-81;2
A10-2023;C11-1;GRGEMAKT-10201;GALTEJ112-82;12
A10-2023;C11-1;GRGEMAKT-10201;GALTEJ112-83;8
A10-2023;C11-1;GRGEMAKT-10201;GALTEJ112-84;15
A10-2023;C11-1;GRGEMAKT-10201;GALTEJ112-85;5
A10-2023;C11-1;GRGEMAKT-10201;GALTEJ112-86;3
A10-2023;C11-1;GRGEMAKT-10201;GALTEJ112-87;4
A10-2023;C11-1;GRGEMAKT-10201;GALTEJ112-88;4
A10-2023;C11-1;GRGEMAKT-10201;GALTEJ112-89;3
A10-2023;C11-1;GRGEMAKT-10201;GALTEJ112-90;1
A10-2023;C11-1;GRGEMAKT-10201;GALTEJ112-91;3
A10-2023;C11-1;GRGEMAKT-10201;GALTEJ112-92;1
A10-2023;C11-1;GRGEMAKT-10201;GALTEJ112-93;1
A10-2023;C11-1;GRGEMAKT-10201;GALTEJ112-94;1
A10-2023;C11-1;GRGEMAKT-10201;GALTEJ112-95;1
A10-2023;C11-1;GRGEMAKT-10301;GALTEJ112-1;9
A10-2023;C11-1;GRGEMAKT-10301;GALTEJ112-2;5
A10-2023;C11-1;GRGEMAKT-10301;GALTEJ112-3;5
A10-2023;C11-1;GRGEMAKT-10301;GALTEJ112-4;12
A10-2023;C11-1;GRGEMAKT-10301;GALTEJ112-5;7
A10-2023;C11-1;GRGEMAKT-10301;GALTEJ112-6;7
A10-2023;C11-1;GRGEMAKT-10301;GALTEJ112-7;7
A10-2023;C11-1;GRGEMAKT-10301;GALTEJ112-8;7
A10-2023;C11-1;GRGEMAKT-10301;GALTEJ112-9;6
A10-2023;C11-1;GRGEMAKT-10301;GALTEJ112-10;13
A10-2023;C11-1;GRGEMAKT-10301;GALTEJ112-11;8
A10-2023;C11-1;GRGEMAKT-10301;GALTEJ112-12;10
A10-2023;C11-1;GRGEMAKT-10301;GALTEJ112-13;13
A10-2023;C11-1;GRGEMAKT-10301;GALTEJ112-14;11
A10-2023;C11-1;GRGEMAKT-10301;GALTEJ112-15;9
A10-2023;C11-1;GRGEMAKT-10301;GALTEJ112-16;11
A10-2023;C11-1;GRGEMAKT-10301;GALTEJ112-17;6
A10-2023;C11-1;GRGEMAKT-10301;GALTEJ112-18;8
A10-2023;C11-1;GRGEMAKT-10301;GALTEJ112-19;3
A10-2023;C11-1;GRGEMAKT-10301;GALTEJ112-20;5
A10-2023;C11-1;GRGEMAKT-10301;GALTEJ112-21;6
A10-2023;C11-1;GRGEMAKT-10301;GALTEJ112-22;6
A10-2023;C11-1;GRGEMAKT-10301;GALTEJ112-23;8
A10-2023;C11-1;GRGEMAKT-10301;GALTEJ112-24;4
A10-2023;C11-1;GRGEMAKT-10301;GALTEJ112-25;4
A10-2023;C11-1;GRGEMAKT-10301;GALTEJ112-26;3
A10-2023;C11-1;GRGEMAKT-10301;GALTEJ112-27;6
A10-2023;C11-1;GRGEMAKT-10301;GALTEJ112-28;10
A10-2023;C11-1;GRGEMAKT-10301;GALTEJ112-29;3
A10-2023;C11-1;GRGEMAKT-10301;GALTEJ112-30;6
A10-2023;C11-1;GRGEMAKT-10301;GALTEJ112-31;12
A10-2023;C11-1;GRGEMAKT-10301;GALTEJ112-32;7
A10-2023;C11-1;GRGEMAKT-10301;GALTEJ112-33;8
A10-2023;C11-1;GRGEMAKT-10301;GALTEJ112-34;8
A10-2023;C11-1;GRGEMAKT-10301;GALTEJ112-35;6
A10-2023;C11-1;GRGEMAKT-10301;GALTEJ112-36;13
A10-2023;C11-1;GRGEMAKT-10301;GALTEJ112-37;12
A10-2023;C11-1;GRGEMAKT-10301;GALTEJ112-38;10
A10-2023;C11-1;GRGEMAKT-10301;GALTEJ112-39;4
A10-2023;C11-1;GRGEMAKT-10301;GALTEJ112-40;12
A10-2023;C11-1;GRGEMAKT-10301;GALTEJ112-41;6
A10-2023;C11-1;GRGEMAKT-10301;GALTEJ112-42;13
A10-2023;C11-1;GRGEMAKT-10301;GALTEJ112-43;7
A10-2023;C11-1;GRGEMAKT-10301;GALTEJ112-44;18
A10-2023;C11-1;GRGEMAKT-10301;GALTEJ112-45;11
A10-2023;C11-1;GRGEMAKT-10301;GALTEJ112-46;14
A10-2023;C11-1;GRGEMAKT-10301;GALTEJ112-47;10
A10-2023;C11-1;GRGEMAKT-10301;GALTEJ112-48;13
A10-2023;C11-1;GRGEMAKT-10301;GALTEJ112-49;12
A10-2023;C11-1;GRGEMAKT-10301;GALTEJ112-50;15
A10-2023;C11-1;GRGEMAKT-10301;GALTEJ112-51;11
A10-2023;C11-1;GRGEMAKT-10301;GALTEJ112-52;17
A10-2023;C11-1;GRGEMAKT-10301;GALTEJ112-53;18
A10-2023;C11-1;GRGEMAKT-10301;GALTEJ112-54;21
A10-2023;C11-1;GRGEMAKT-10301;GALTEJ112-55;17
A10-2023;C11-1;GRGEMAKT-10301;GALTEJ112-56;16
A10-2023;C11-1;GRGEMAKT-10301;GALTEJ112-57;16
A10-2023;C11-1;GRGEMAKT-10301;GALTEJ112-58;18
A10-2023;C11-1;GRGEMAKT-10301;GALTEJ112-59;23
A10-2023;C11-1;GRGEMAKT-10301;GALTEJ112-60;11
A10-2023;C11-1;GRGEMAKT-10301;GALTEJ112-61;16
A10-2023;C11-1;GRGEMAKT-10301;GALTEJ112-62;12
A10-2023;C11-1;GRGEMAKT-10301;GALTEJ112-63;16
A10-2023;C11-1;GRGEMAKT-10301;GALTEJ112-64;16
A10-2023;C11-1;GRGEMAKT-10301;GALTEJ112-65;17
A10-2023;C11-1;GRGEMAKT-10301;GALTEJ112-66;16
A10-2023;C11-1;GRGEMAKT-10301;GALTEJ112-67;21
A10-2023;C11-1;GRGEMAKT-10301;GALTEJ112-68;20
A10-2023;C11-1;GRGEMAKT-10301;GALTEJ112-69;10
A10-2023;C11-1;GRGEMAKT-10301;GALTEJ112-70;9
A10-2023;C11-1;GRGEMAKT-10301;GALTEJ112-71;13
A10-2023;C11-1;GRGEMAKT-10301;GALTEJ112-72;11
A10-2023;C11-1;GRGEMAKT-10301;GALTEJ112-73;18
A10-2023;C11-1;GRGEMAKT-10301;GALTEJ112-74;9
A10-2023;C11-1;GRGEMAKT-10301;GALTEJ112-75;15
A10-2023;C11-1;GRGEMAKT-10301;GALTEJ112-76;11
A10-2023;C11-1;GRGEMAKT-10301;GALTEJ112-77;6
A10-2023;C11-1;GRGEMAKT-10301;GALTEJ112-78;9
A10-2023;C11-1;GRGEMAKT-10301;GALTEJ112-79;7
A10-2023;C11-1;GRGEMAKT-10301;GALTEJ112-80;7
A10-2023;C11-1;GRGEMAKT-10301;GALTEJ112-81;14
A10-2023;C11-1;GRGEMAKT-10301;GALTEJ112-82;14
A10-2023;C11-1;GRGEMAKT-10301;GALTEJ112-83;11
A10-2023;C11-1;GRGEMAKT-10301;GALTEJ112-84;11
A10-2023;C11-1;GRGEMAKT-10301;GALTEJ112-85;9
A10-2023;C11-1;GRGEMAKT-10301;GALTEJ112-86;5
A10-2023;C11-1;GRGEMAKT-10301;GALTEJ112-87;9
A10-2023;C11-1;GRGEMAKT-10301;GALTEJ112-88;3
A10-2023;C11-1;GRGEMAKT-10301;GALTEJ112-89;4
A10-2023;C11-1;GRGEMAKT-10301;GALTEJ112-90;3
A10-2023;C11-1;GRGEMAKT-10301;GALTEJ112-91;2
A10-2023;C11-1;GRGEMAKT-10301;GALTEJ112-92;1
A10-2023;C11-1;GRGEMAKT-10301;GALTEJ112-94;3
A10-2023;C11-1;GRGEMAKT-10301;GALTEJ112-95;1
A10-2023;C11-1;GRGEMAKT-10301;GALTEJ112-98;1
A10-2023;C11-1;GRGEMAKT-10302;GALTEJ112-1;5
A10-2023;C11-1;GRGEMAKT-10302;GALTEJ112-2;5
A10-2023;C11-1;GRGEMAKT-10302;GALTEJ112-3;8
A10-2023;C11-1;GRGEMAKT-10302;GALTEJ112-4;10
A10-2023;C11-1;GRGEMAKT-10302;GALTEJ112-5;9
A10-2023;C11-1;GRGEMAKT-10302;GALTEJ112-6;9
A10-2023;C11-1;GRGEMAKT-10302;GALTEJ112-7;7
A10-2023;C11-1;GRGEMAKT-10302;GALTEJ112-8;6
A10-2023;C11-1;GRGEMAKT-10302;GALTEJ112-9;7
A10-2023;C11-1;GRGEMAKT-10302;GALTEJ112-10;10
A10-2023;C11-1;GRGEMAKT-10302;GALTEJ112-11;8
A10-2023;C11-1;GRGEMAKT-10302;GALTEJ112-12;5
A10-2023;C11-1;GRGEMAKT-10302;GALTEJ112-13;14
A10-2023;C11-1;GRGEMAKT-10302;GALTEJ112-14;9
A10-2023;C11-1;GRGEMAKT-10302;GALTEJ112-15;6
A10-2023;C11-1;GRGEMAKT-10302;GALTEJ112-16;7
A10-2023;C11-1;GRGEMAKT-10302;GALTEJ112-17;10
A10-2023;C11-1;GRGEMAKT-10302;GALTEJ112-18;8
A10-2023;C11-1;GRGEMAKT-10302;GALTEJ112-19;8
A10-2023;C11-1;GRGEMAKT-10302;GALTEJ112-20;11
A10-2023;C11-1;GRGEMAKT-10302;GALTEJ112-21;8
A10-2023;C11-1;GRGEMAKT-10302;GALTEJ112-22;9
A10-2023;C11-1;GRGEMAKT-10302;GALTEJ112-23;7
A10-2023;C11-1;GRGEMAKT-10302;GALTEJ112-24;3
A10-2023;C11-1;GRGEMAKT-10302;GALTEJ112-25;11
A10-2023;C11-1;GRGEMAKT-10302;GALTEJ112-26;5
A10-2023;C11-1;GRGEMAKT-10302;GALTEJ112-27;7
A10-2023;C11-1;GRGEMAKT-10302;GALTEJ112-28;8
A10-2023;C11-1;GRGEMAKT-10302;GALTEJ112-29;8
A10-2023;C11-1;GRGEMAKT-10302;GALTEJ112-30;8
A10-2023;C11-1;GRGEMAKT-10302;GALTEJ112-31;8
A10-2023;C11-1;GRGEMAKT-10302;GALTEJ112-32;10
A10-2023;C11-1;GRGEMAKT-10302;GALTEJ112-33;19
A10-2023;C11-1;GRGEMAKT-10302;GALTEJ112-34;8
A10-2023;C11-1;GRGEMAKT-10302;GALTEJ112-35;13
A10-2023;C11-1;GRGEMAKT-10302;GALTEJ112-36;10
A10-2023;C11-1;GRGEMAKT-10302;GALTEJ112-37;7
A10-2023;C11-1;GRGEMAKT-10302;GALTEJ112-38;8
A10-2023;C11-1;GRGEMAKT-10302;GALTEJ112-39;6
A10-2023;C11-1;GRGEMAKT-10302;GALTEJ112-40;9
A10-2023;C11-1;GRGEMAKT-10302;GALTEJ112-41;16
A10-2023;C11-1;GRGEMAKT-10302;GALTEJ112-42;13
A10-2023;C11-1;GRGEMAKT-10302;GALTEJ112-43;15
A10-2023;C11-1;GRGEMAKT-10302;GALTEJ112-44;15
A10-2023;C11-1;GRGEMAKT-10302;GALTEJ112-45;13
A10-2023;C11-1;GRGEMAKT-10302;GALTEJ112-46;13
A10-2023;C11-1;GRGEMAKT-10302;GALTEJ112-47;15
A10-2023;C11-1;GRGEMAKT-10302;GALTEJ112-48;14
A10-2023;C11-1;GRGEMAKT-10302;GALTEJ112-49;13
A10-2023;C11-1;GRGEMAKT-10302;GALTEJ112-50;13
A10-2023;C11-1;GRGEMAKT-10302;GALTEJ112-51;11
A10-2023;C11-1;GRGEMAKT-10302;GALTEJ112-52;12
A10-2023;C11-1;GRGEMAKT-10302;GALTEJ112-53;19
A10-2023;C11-1;GRGEMAKT-10302;GALTEJ112-54;12
A10-2023;C11-1;GRGEMAKT-10302;GALTEJ112-55;13
A10-2023;C11-1;GRGEMAKT-10302;GALTEJ112-56;14
A10-2023;C11-1;GRGEMAKT-10302;GALTEJ112-57;20
A10-2023;C11-1;GRGEMAKT-10302;GALTEJ112-58;14
A10-2023;C11-1;GRGEMAKT-10302;GALTEJ112-59;15
A10-2023;C11-1;GRGEMAKT-10302;GALTEJ112-60;11
A10-2023;C11-1;GRGEMAKT-10302;GALTEJ112-61;21
A10-2023;C11-1;GRGEMAKT-10302;GALTEJ112-62;18
A10-2023;C11-1;GRGEMAKT-10302;GALTEJ112-63;18
A10-2023;C11-1;GRGEMAKT-10302;GALTEJ112-64;19
A10-2023;C11-1;GRGEMAKT-10302;GALTEJ112-65;10
A10-2023;C11-1;GRGEMAKT-10302;GALTEJ112-66;13
A10-2023;C11-1;GRGEMAKT-10302;GALTEJ112-67;20
A10-2023;C11-1;GRGEMAKT-10302;GALTEJ112-68;15
A10-2023;C11-1;GRGEMAKT-10302;GALTEJ112-69;11
A10-2023;C11-1;GRGEMAKT-10302;GALTEJ112-70;15
A10-2023;C11-1;GRGEMAKT-10302;GALTEJ112-71;11
A10-2023;C11-1;GRGEMAKT-10302;GALTEJ112-72;17
A10-2023;C11-1;GRGEMAKT-10302;GALTEJ112-73;11
A10-2023;C11-1;GRGEMAKT-10302;GALTEJ112-74;9
A10-2023;C11-1;GRGEMAKT-10302;GALTEJ112-75;14
A10-2023;C11-1;GRGEMAKT-10302;GALTEJ112-76;8
A10-2023;C11-1;GRGEMAKT-10302;GALTEJ112-77;8
A10-2023;C11-1;GRGEMAKT-10302;GALTEJ112-78;6
A10-2023;C11-1;GRGEMAKT-10302;GALTEJ112-79;2
A10-2023;C11-1;GRGEMAKT-10302;GALTEJ112-80;4
A10-2023;C11-1;GRGEMAKT-10302;GALTEJ112-81;4
A10-2023;C11-1;GRGEMAKT-10302;GALTEJ112-82;5
A10-2023;C11-1;GRGEMAKT-10302;GALTEJ112-83;7
A10-2023;C11-1;GRGEMAKT-10302;GALTEJ112-84;8
A10-2023;C11-1;GRGEMAKT-10302;GALTEJ112-85;4
A10-2023;C11-1;GRGEMAKT-10302;GALTEJ112-86;4
A10-2023;C11-1;GRGEMAKT-10302;GALTEJ112-87;4
A10-2023;C11-1;GRGEMAKT-10302;GALTEJ112-88;5
A10-2023;C11-1;GRGEMAKT-10302;GALTEJ112-89;1
A10-2023;C11-1;GRGEMAKT-10302;GALTEJ112-90;2
A10-2023;C11-1;GRGEMAKT-10302;GALTEJ112-91;2
A10-2023;C11-1;GRGEMAKT-10302;GALTEJ112-92;1
A10-2023;C11-1;GRGEMAKT-10302;GALTEJ112-93;1
A10-2023;C11-1;GRGEMAKT-10302;GALTEJ112-95;1
A10-2023;C11-1;GRGEMAKT-10302;GALTEJ112-97;1
A10-2023;C11-1;GRGEMAKT-10302;GALTEJ112-98;1
A10-2023;C11-1;GRGEMAKT-10303;GALTEJ112-1;8
A10-2023;C11-1;GRGEMAKT-10303;GALTEJ112-2;9
A10-2023;C11-1;GRGEMAKT-10303;GALTEJ112-3;14
A10-2023;C11-1;GRGEMAKT-10303;GALTEJ112-4;7
A10-2023;C11-1;GRGEMAKT-10303;GALTEJ112-5;10
A10-2023;C11-1;GRGEMAKT-10303;GALTEJ112-6;7
A10-2023;C11-1;GRGEMAKT-10303;GALTEJ112-7;10
A10-2023;C11-1;GRGEMAKT-10303;GALTEJ112-8;10
A10-2023;C11-1;GRGEMAKT-10303;GALTEJ112-9;10
A10-2023;C11-1;GRGEMAKT-10303;GALTEJ112-10;14
A10-2023;C11-1;GRGEMAKT-10303;GALTEJ112-11;14
