"jahr","gemnr","gemname","geschl","alter","n","typ"
2025,"70210","Mils bei Imst ","weiblich","35 bis 39 Jahre",27,"Ländlicher Raum"
2025,"70210","Mils bei Imst ","weiblich","40 bis 44 Jahre",19,"Ländlicher Raum"
2025,"70211","Mötz ","männlich","bis 4 Jahre",35,"Ländlicher Raum"
2025,"70211","Mötz ","männlich","5 bis 9 Jahre",39,"Ländlicher Raum"
2025,"70211","Mötz ","männlich","10 bis 14 Jahre",39,"Ländlicher Raum"
2025,"70211","Mötz ","männlich","15 bis 19 Jahre",35,"Ländlicher Raum"
2025,"70211","Mötz ","männlich","20 bis 24 Jahre",50,"Ländlicher Raum"
2025,"70211","Mötz ","männlich","25 bis 29 Jahre",39,"Ländlicher Raum"
2025,"70211","Mötz ","männlich","30 bis 34 Jahre",42,"Ländlicher Raum"
2025,"70211","Mötz ","männlich","35 bis 39 Jahre",57,"Ländlicher Raum"
2025,"70211","Mötz ","männlich","40 bis 44 Jahre",46,"Ländlicher Raum"
2025,"70211","Mötz ","weiblich","bis 4 Jahre",41,"Ländlicher Raum"
2025,"70211","Mötz ","weiblich","5 bis 9 Jahre",42,"Ländlicher Raum"
2025,"70211","Mötz ","weiblich","10 bis 14 Jahre",39,"Ländlicher Raum"
2025,"70211","Mötz ","weiblich","15 bis 19 Jahre",28,"Ländlicher Raum"
2025,"70211","Mötz ","weiblich","20 bis 24 Jahre",30,"Ländlicher Raum"
2025,"70211","Mötz ","weiblich","25 bis 29 Jahre",47,"Ländlicher Raum"
2025,"70211","Mötz ","weiblich","30 bis 34 Jahre",50,"Ländlicher Raum"
2025,"70211","Mötz ","weiblich","35 bis 39 Jahre",47,"Ländlicher Raum"
2025,"70211","Mötz ","weiblich","40 bis 44 Jahre",47,"Ländlicher Raum"
2025,"70212","Nassereith ","männlich","bis 4 Jahre",53,"Ländlicher Raum"
2025,"70212","Nassereith ","männlich","5 bis 9 Jahre",71,"Ländlicher Raum"
2025,"70212","Nassereith ","männlich","10 bis 14 Jahre",42,"Ländlicher Raum"
2025,"70212","Nassereith ","männlich","15 bis 19 Jahre",64,"Ländlicher Raum"
2025,"70212","Nassereith ","männlich","20 bis 24 Jahre",59,"Ländlicher Raum"
2025,"70212","Nassereith ","männlich","25 bis 29 Jahre",71,"Ländlicher Raum"
2025,"70212","Nassereith ","männlich","30 bis 34 Jahre",71,"Ländlicher Raum"
2025,"70212","Nassereith ","männlich","35 bis 39 Jahre",78,"Ländlicher Raum"
2025,"70212","Nassereith ","männlich","40 bis 44 Jahre",79,"Ländlicher Raum"
2025,"70212","Nassereith ","weiblich","bis 4 Jahre",54,"Ländlicher Raum"
2025,"70212","Nassereith ","weiblich","5 bis 9 Jahre",58,"Ländlicher Raum"
