"jahr","gemnr","pop","bi_zu","bi_weg","au_zu","au_weg","bi_saldo","au_saldo","bld"
2019,50330,3928,138,170,137,77,-32,60,"5"
2020,50330,3960,149,178,95,109,-29,-14,"5"
2021,50330,3905,205,132,124,57,73,67,"5"
2022,50330,4065,133,172,190,147,-39,43,"5"
2023,50330,4076,146,169,124,104,-23,20,"5"
2002,50331,887,28,14,9,3,14,6,"5"
2003,50331,926,43,44,3,2,-1,1,"5"
2004,50331,942,30,40,8,3,-10,5,"5"
2005,50331,946,35,27,12,1,8,11,"5"
2006,50331,969,43,57,4,5,-14,-1,"5"
2007,50331,959,35,29,4,2,6,2,"5"
2008,50331,974,46,37,3,1,9,2,"5"
2009,50331,985,48,38,3,2,10,1,"5"
2010,50331,1001,43,32,4,4,11,0,"5"
2011,50331,1016,33,52,12,4,-19,8,"5"
2012,50331,1014,24,51,8,11,-27,-3,"5"
2013,50331,987,70,37,12,5,33,7,"5"
2014,50331,1034,44,28,9,6,16,3,"5"
2015,50331,1062,61,65,14,6,-4,8,"5"
2016,50331,1067,37,27,6,8,10,-2,"5"
2017,50331,1088,43,57,5,12,-14,-7,"5"
2018,50331,1069,41,48,10,2,-7,8,"5"
2019,50331,1075,42,32,8,15,10,-7,"5"
2020,50331,1086,93,67,9,1,26,8,"5"
2021,50331,1119,66,70,9,0,-4,9,"5"
2022,50331,1137,48,56,7,1,-8,6,"5"
2023,50331,1148,34,71,16,8,-37,8,"5"
2002,50332,1709,76,84,4,19,-8,-15,"5"
2003,50332,1695,93,94,12,14,-1,-2,"5"
2004,50332,1696,75,75,9,6,0,3,"5"
2005,50332,1713,73,64,10,9,9,1,"5"
2006,50332,1731,102,83,9,5,19,4,"5"
2007,50332,1757,82,91,21,8,-9,13,"5"
2008,50332,1773,77,105,21,16,-28,5,"5"
2009,50332,1753,94,77,14,16,17,-2,"5"
2010,50332,1772,106,101,17,20,5,-3,"5"
2011,50332,1783,66,86,24,14,-20,10,"5"
2012,50332,1784,71,59,19,13,12,6,"5"
2013,50332,1814,71,104,13,11,-33,2,"5"
2014,50332,1788,84,108,22,15,-24,7,"5"
2015,50332,1783,155,85,30,14,70,16,"5"
2016,50332,1882,132,117,22,12,15,10,"5"
2017,50332,1916,101,91,22,19,10,3,"5"
2018,50332,1939,100,112,17,20,-12,-3,"5"
2019,50332,1933,81,116,16,9,-35,7,"5"
2020,50332,1907,87,85,28,4,2,24,"5"
2021,50332,1942,113,93,21,19,20,2,"5"
2022,50332,1974,88,86,28,19,2,9,"5"
2023,50332,2004,78,86,29,11,-8,18,"5"
2002,50335,6822,224,300,32,27,-76,5,"5"
2003,50335,6760,225,246,54,35,-21,19,"5"
2004,50335,6765,244,214,45,42,30,3,"5"
2005,50335,6831,259,262,55,27,-3,28,"5"
2006,50335,6883,257,262,44,27,-5,17,"5"
2007,50335,6927,255,294,58,38,-39,20,"5"
2008,50335,6933,237,249,54,46,-12,8,"5"
2009,50335,6936,350,274,43,42,76,1,"5"
2010,50335,7030,252,288,53,42,-36,11,"5"
2011,50335,6999,292,318,65,40,-26,25,"5"
2012,50335,7000,283,313,71,49,-30,22,"5"
2013,50335,6987,336,319,95,50,17,45,"5"
2014,50335,7068,291,305,86,35,-14,51,"5"
2015,50335,7137,399,330,110,53,69,57,"5"
2016,50335,7274,325,341,87,42,-16,45,"5"
2017,50335,7340,337,312,95,54,25,41,"5"
2018,50335,7420,364,328,109,47,36,62,"5"
2019,50335,7570,332,342,95,56,-10,39,"5"
2020,50335,7628,365,296,60,32,69,28,"5"
2021,50335,7753,401,327,103,79,74,24,"5"
2022,50335,7884,384,329,129,72,55,57,"5"
2023,50335,8011,370,373,123,70,-3,53,"5"
2002,50336,3536,153,167,113,66,-14,47,"5"
2003,50336,3577,100,159,54,45,-59,9,"5"
2004,50336,3534,121,142,41,25,-21,16,"5"
2005,50336,3532,132,152,52,22,-20,30,"5"
2006,50336,3553,148,185,46,24,-37,22,"5"
2007,50336,3555,117,141,17,25,-24,-8,"5"
2008,50336,3523,145,112,31,23,33,8,"5"
2009,50336,3581,107,109,30,22,-2,8,"5"
2010,50336,3599,132,126,41,18,6,23,"5"
2011,50336,3645,113,159,28,14,-46,14,"5"
2012,50336,3610,111,130,34,16,-19,18,"5"
2013,50336,3600,106,102,27,20,4,7,"5"
2014,50336,3607,117,124,29,21,-7,8,"5"
2015,50336,3606,105,126,28,13,-21,15,"5"
2016,50336,3601,113,115,39,12,-2,27,"5"
2017,50336,3630,112,111,23,15,1,8,"5"
2018,50336,3645,122,140,32,24,-18,8,"5"
2019,50336,3639,118,133,48,32,-15,16,"5"
2020,50336,3641,129,109,22,18,20,4,"5"
2021,50336,3670,112,114,37,28,-2,9,"5"
2022,50336,3678,103,113,77,37,-10,40,"5"
2023,50336,3691,135,153,32,20,-18,12,"5"
2002,50337,5210,133,190,20,22,-57,-2,"5"
2003,50337,5170,167,159,23,14,8,9,"5"
2004,50337,5201,183,177,32,20,6,12,"5"
2005,50337,5244,185,180,29,14,5,15,"5"
2006,50337,5279,212,197,30,16,15,14,"5"
2007,50337,5336,171,168,40,31,3,9,"5"
2008,50337,5348,194,204,29,22,-10,7,"5"
2009,50337,5367,186,160,26,23,26,3,"5"
2010,50337,5408,175,166,25,19,9,6,"5"
2011,50337,5447,249,169,16,14,80,2,"5"
2012,50337,5550,210,144,38,34,66,4,"5"
2013,50337,5627,191,152,36,23,39,13,"5"
2014,50337,5691,227,212,35,32,15,3,"5"
2015,50337,5735,335,247,113,37,88,76,"5"
2016,50337,5925,367,433,83,54,-66,29,"5"
2017,50337,5912,356,405,115,56,-49,59,"5"
2018,50337,5931,289,334,86,49,-45,37,"5"
2019,50337,5938,217,241,68,28,-24,40,"5"
2020,50337,5971,208,238,49,37,-30,12,"5"
2021,50337,5971,246,247,45,44,-1,1,"5"
2022,50337,5991,210,233,108,49,-23,59,"5"
2023,50337,6030,280,223,47,48,57,-1,"5"
2002,50338,11133,442,458,140,67,-16,73,"5"
2003,50338,11224,540,445,127,101,95,26,"5"
2004,50338,11379,492,468,144,133,24,11,"5"
2005,50338,11448,403,521,123,98,-118,25,"5"
2006,50338,11410,547,447,116,107,100,9,"5"
2007,50338,11550,554,470,106,102,84,4,"5"
2008,50338,11672,564,472,120,123,92,-3,"5"
2009,50338,11814,624,525,142,119,99,23,"5"
2010,50338,11976,443,428,139,112,15,27,"5"
2011,50338,12045,558,483,139,104,75,35,"5"
2012,50338,12220,617,485,129,111,132,18,"5"
2013,50338,12420,633,477,161,126,156,35,"5"
2014,50338,12665,625,613,180,113,12,67,"5"
2015,50338,12794,1116,1366,789,140,-250,649,"5"
2016,50338,13240,759,1156,399,193,-397,206,"5"
2017,50338,13101,553,686,209,148,-133,61,"5"
2018,50338,13056,638,557,176,124,81,52,"5"
2019,50338,13213,680,602,186,135,78,51,"5"
2020,50338,13404,701,606,153,108,95,45,"5"
2021,50338,13575,718,612,156,134,106,22,"5"
2022,50338,13728,686,740,740,185,-54,555,"5"
2023,50338,14246,681,796,528,304,-115,224,"5"
2002,50339,9381,363,364,83,60,-1,23,"5"
2003,50339,9431,356,430,93,79,-74,14,"5"
2004,50339,9393,427,388,90,77,39,13,"5"
2005,50339,9465,356,350,72,70,6,2,"5"
2006,50339,9512,366,354,59,61,12,-2,"5"
2007,50339,9573,385,421,78,79,-36,-1,"5"
2008,50339,9546,492,428,94,63,64,31,"5"
2009,50339,9665,453,413,66,77,40,-11,"5"
2010,50339,9715,421,388,68,72,33,-4,"5"
2011,50339,9765,515,416,80,60,99,20,"5"
2012,50339,9918,555,429,117,82,126,35,"5"
2013,50339,10136,459,439,116,87,20,29,"5"
2014,50339,10226,457,539,145,72,-82,73,"5"
2015,50339,10262,632,469,127,58,163,69,"5"
2016,50339,10523,518,567,134,74,-49,60,"5"
2017,50339,10585,674,523,117,150,151,-33,"5"
2018,50339,10764,626,575,116,100,51,16,"5"
2019,50339,10884,568,547,116,110,21,6,"5"
2020,50339,10951,553,603,147,93,-50,54,"5"
2021,50339,11001,582,584,132,76,-2,56,"5"
2022,50339,11089,632,564,179,124,68,55,"5"
2023,50339,11233,852,539,134,115,313,19,"5"
2002,50401,3503,127,150,92,90,-23,2,"5"
2003,50401,3494,133,145,63,61,-12,2,"5"
2004,50401,3496,178,103,62,50,75,12,"5"
2005,50401,3600,123,156,83,53,-33,30,"5"
2006,50401,3613,130,142,48,57,-12,-9,"5"
2007,50401,3609,156,141,39,59,15,-20,"5"
2008,50401,3626,191,146,41,35,45,6,"5"
2009,50401,3689,160,143,33,45,17,-12,"5"
2010,50401,3693,145,168,46,28,-23,18,"5"
2011,50401,3697,177,161,36,26,16,10,"5"
2012,50401,3738,203,172,45,44,31,1,"5"
2013,50401,3788,204,152,67,42,52,25,"5"
2014,50401,3873,174,171,43,33,3,10,"5"
2015,50401,3900,158,176,81,23,-18,58,"5"
2016,50401,3955,235,162,56,31,73,25,"5"
2017,50401,4071,258,159,87,40,99,47,"5"
2018,50401,4218,279,167,82,62,112,20,"5"
2019,50401,4349,230,211,109,54,19,55,"5"
2020,50401,4428,241,174,50,62,67,-12,"5"
2021,50401,4487,196,168,117,63,28,54,"5"
2022,50401,4587,222,234,168,81,-12,87,"5"
2023,50401,4691,181,199,145,109,-18,36,"5"
2002,50402,6759,161,203,239,73,-42,166,"5"
2003,50402,6905,192,199,191,141,-7,50,"5"
2004,50402,6958,198,216,205,169,-18,36,"5"
2005,50402,6978,195,242,146,160,-47,-14,"5"
2006,50402,6935,154,209,62,191,-55,-129,"5"
2007,50402,6756,176,193,71,67,-17,4,"5"
2008,50402,6743,191,206,70,64,-15,6,"5"
2009,50402,6748,188,195,70,78,-7,-8,"5"
2010,50402,6733,188,207,56,55,-19,1,"5"
2011,50402,6707,193,225,102,63,-32,39,"5"
2012,50402,6721,200,251,135,77,-51,58,"5"
2013,50402,6726,187,244,140,70,-57,70,"5"
2014,50402,6748,207,239,150,79,-32,71,"5"
2015,50402,6787,260,243,130,41,17,89,"5"
2016,50402,6883,232,262,95,47,-30,48,"5"
2017,50402,6909,244,290,114,63,-46,51,"5"
2018,50402,6914,208,263,118,80,-55,38,"5"
2019,50402,6888,226,282,109,79,-56,30,"5"
2020,50402,6865,203,230,78,91,-27,-13,"5"
2021,50402,6816,184,253,76,72,-69,4,"5"
2022,50402,6727,190,222,183,74,-32,109,"5"
2023,50402,6775,176,219,116,93,-43,23,"5"
2002,50403,5351,177,199,382,350,-22,32,"5"
2003,50403,5358,166,205,352,384,-39,-32,"5"
2004,50403,5306,155,291,267,366,-136,-99,"5"
2005,50403,5072,170,268,200,217,-98,-17,"5"
2006,50403,4964,171,216,206,298,-45,-92,"5"
2007,50403,4829,143,197,120,347,-54,-227,"5"
2008,50403,4547,147,203,107,115,-56,-8,"5"
2009,50403,4468,170,221,95,78,-51,17,"5"
2010,50403,4419,180,242,110,106,-62,4,"5"
2011,50403,4336,137,202,128,83,-65,45,"5"
2012,50403,4300,178,256,169,94,-78,75,"5"
2013,50403,4271,177,230,123,106,-53,17,"5"
2014,50403,4223,174,280,152,88,-106,64,"5"
2015,50403,4175,191,293,187,101,-102,86,"5"
2016,50403,4148,150,272,113,68,-122,45,"5"
2017,50403,4068,139,221,89,70,-82,19,"5"
2018,50403,3980,170,151,87,85,19,2,"5"
2019,50403,3990,138,178,92,68,-40,24,"5"
2020,50403,3944,151,174,125,67,-23,58,"5"
2021,50403,3961,107,150,65,68,-43,-3,"5"
2022,50403,3894,167,262,294,89,-95,205,"5"
2023,50403,3976,156,154,192,81,2,111,"5"
2002,50404,9984,315,339,86,91,-24,-5,"5"
2003,50404,9980,290,301,92,68,-11,24,"5"
2004,50404,10020,293,296,103,52,-3,51,"5"
2005,50404,10079,292,357,69,55,-65,14,"5"
2006,50404,10065,352,302,56,49,50,7,"5"
2007,50404,10130,383,334,82,61,49,21,"5"
2008,50404,10216,323,319,76,61,4,15,"5"
2009,50404,10259,366,402,80,78,-36,2,"5"
2010,50404,10245,344,369,86,67,-25,19,"5"
2011,50404,10270,365,385,99,63,-20,36,"5"
2012,50404,10328,365,371,99,78,-6,21,"5"
2013,50404,10377,349,465,105,60,-116,45,"5"
2014,50404,10310,391,396,74,61,-5,13,"5"
2015,50404,10315,478,377,130,71,101,59,"5"
2016,50404,10485,412,451,118,81,-39,37,"5"
2017,50404,10483,474,439,101,80,35,21,"5"
2018,50404,10540,466,484,130,81,-18,49,"5"
2019,50404,10574,396,459,141,86,-63,55,"5"
2020,50404,10580,370,467,128,85,-97,43,"5"
2021,50404,10544,346,407,112,104,-61,8,"5"
2022,50404,10475,490,391,169,86,99,83,"5"
2023,50404,10658,410,339,118,91,71,27,"5"
2002,50405,1663,25,53,29,34,-28,-5,"5"
2003,50405,1634,31,44,35,23,-13,12,"5"
2004,50405,1643,45,39,32,27,6,5,"5"
2005,50405,1671,54,59,30,41,-5,-11,"5"
2006,50405,1667,41,44,35,30,-3,5,"5"
2007,50405,1677,61,54,46,38,7,8,"5"
2008,50405,1696,45,66,50,27,-21,23,"5"
2009,50405,1698,32,52,18,47,-20,-29,"5"
2010,50405,1657,40,58,11,27,-18,-16,"5"
2011,50405,1629,44,45,8,15,-1,-7,"5"
2012,50405,1625,54,44,7,10,10,-3,"5"
2013,50405,1636,44,57,7,15,-13,-8,"5"
2014,50405,1618,58,43,20,9,15,11,"5"
2015,50405,1652,43,62,18,11,-19,7,"5"
2016,50405,1641,24,57,15,9,-33,6,"5"
2017,50405,1627,40,62,16,10,-22,6,"5"
2018,50405,1614,27,49,9,7,-22,2,"5"
2019,50405,1602,62,74,18,3,-12,15,"5"
2020,50405,1622,56,49,13,7,7,6,"5"
2021,50405,1638,64,55,21,7,9,14,"5"
2022,50405,1669,84,44,28,10,40,18,"5"
2023,50405,1726,47,50,9,11,-3,-2,"5"
2002,50406,2025,77,110,37,16,-33,21,"5"
2003,50406,2037,95,92,18,14,3,4,"5"
2004,50406,2063,79,105,24,9,-26,15,"5"
2005,50406,2075,80,89,32,16,-9,16,"5"
2006,50406,2106,131,112,15,13,19,2,"5"
2007,50406,2134,84,101,45,25,-17,20,"5"
2008,50406,2147,92,93,32,21,-1,11,"5"
2009,50406,2170,72,90,22,20,-18,2,"5"
2010,50406,2175,99,97,23,20,2,3,"5"
2011,50406,2193,94,111,34,17,-17,17,"5"
2012,50406,2209,127,97,21,22,30,-1,"5"
2013,50406,2250,125,117,21,31,8,-10,"5"
2014,50406,2266,109,110,12,10,-1,2,"5"
2015,50406,2287,114,89,20,20,25,0,"5"
2016,50406,2339,136,90,15,14,46,1,"5"
2017,50406,2409,100,135,47,9,-35,38,"5"
2018,50406,2446,94,109,33,33,-15,0,"5"
2019,50406,2464,173,145,51,15,28,36,"5"
2020,50406,2545,112,144,35,19,-32,16,"5"
2021,50406,2551,100,102,54,24,-2,30,"5"
2022,50406,2603,114,147,56,29,-33,27,"5"
2023,50406,2622,139,128,43,40,11,3,"5"
2002,50407,1406,42,56,17,51,-14,-34,"5"
2003,50407,1367,25,52,16,17,-27,-1,"5"
2004,50407,1346,29,27,25,18,2,7,"5"
2005,50407,1364,53,25,30,8,28,22,"5"
2006,50407,1436,31,62,25,26,-31,-1,"5"
2007,50407,1419,23,41,21,11,-18,10,"5"
2008,50407,1425,29,52,18,13,-23,5,"5"
2009,50407,1432,42,28,9,10,14,-1,"5"
2010,50407,1452,32,55,35,19,-23,16,"5"
2011,50407,1460,33,51,27,18,-18,9,"5"
2012,50407,1461,18,53,34,22,-35,12,"5"
2013,50407,1447,35,48,36,17,-13,19,"5"
2014,50407,1461,29,55,26,20,-26,6,"5"
2015,50407,1457,27,55,32,13,-28,19,"5"
2016,50407,1448,51,52,24,13,-1,11,"5"
2017,50407,1461,50,46,27,17,4,10,"5"
2018,50407,1484,44,52,29,18,-8,11,"5"
2019,50407,1493,43,54,39,21,-11,18,"5"
2020,50407,1513,33,59,26,12,-26,14,"5"
2021,50407,1511,33,61,30,25,-28,5,"5"
2022,50407,1494,46,61,47,25,-15,22,"5"
2023,50407,1505,41,52,37,24,-11,13,"5"
2002,50408,2608,56,61,13,14,-5,-1,"5"
2003,50408,2613,68,98,18,8,-30,10,"5"
2004,50408,2618,65,81,21,13,-16,8,"5"
2005,50408,2617,59,80,27,20,-21,7,"5"
2006,50408,2632,89,87,21,14,2,7,"5"
2007,50408,2657,87,109,16,13,-22,3,"5"
2008,50408,2653,93,125,27,21,-32,6,"5"
2009,50408,2646,74,97,22,20,-23,2,"5"
2010,50408,2637,88,96,37,14,-8,23,"5"
2011,50408,2671,66,84,35,20,-18,15,"5"
2012,50408,2687,59,76,27,27,-17,0,"5"
2013,50408,2683,62,89,49,20,-27,29,"5"
2014,50408,2703,94,95,57,33,-1,24,"5"
2015,50408,2739,112,106,41,17,6,24,"5"
2016,50408,2801,86,154,53,18,-68,35,"5"
2017,50408,2782,136,152,40,25,-16,15,"5"
2018,50408,2813,100,118,41,24,-18,17,"5"
2019,50408,2840,105,122,46,19,-17,27,"5"
2020,50408,2876,120,118,42,24,2,18,"5"
2021,50408,2924,148,122,76,48,26,28,"5"
2022,50408,2999,155,154,76,53,1,23,"5"
2023,50408,3050,116,156,74,52,-40,22,"5"
2002,50409,527,7,10,13,1,-3,12,"5"
2003,50409,540,12,22,13,19,-10,-6,"5"
2004,50409,528,25,16,16,5,9,11,"5"
2005,50409,550,14,15,7,13,-1,-6,"5"
2006,50409,548,7,10,7,7,-3,0,"5"
2007,50409,546,9,12,9,12,-3,-3,"5"
2008,50409,545,8,9,20,13,-1,7,"5"
2009,50409,554,17,27,16,16,-10,0,"5"
2010,50409,547,10,21,21,12,-11,9,"5"
2011,50409,553,9,22,18,15,-13,3,"5"
2012,50409,544,3,11,27,25,-8,2,"5"
2013,50409,544,14,25,20,22,-11,-2,"5"
2014,50409,533,19,15,8,12,4,-4,"5"
2015,50409,534,9,16,2,13,-7,-11,"5"
2016,50409,521,13,11,1,2,2,-1,"5"
2017,50409,526,19,9,2,3,10,-1,"5"
2018,50409,540,23,15,1,1,8,0,"5"
2019,50409,555,4,16,0,1,-12,-1,"5"
2020,50409,551,5,12,3,0,-7,3,"5"
2021,50409,547,10,8,2,2,2,0,"5"
2022,50409,550,11,15,14,7,-4,7,"5"
2023,50409,554,14,9,7,6,5,1,"5"
2002,50410,2211,78,85,15,10,-7,5,"5"
2003,50410,2222,65,67,11,9,-2,2,"5"
2004,50410,2236,84,56,17,11,28,6,"5"
2005,50410,2277,109,73,23,2,36,21,"5"
2006,50410,2348,115,108,19,18,7,1,"5"
2007,50410,2369,99,78,23,25,21,-2,"5"
2008,50410,2412,125,108,18,17,17,1,"5"
2009,50410,2430,84,91,23,19,-7,4,"5"
2010,50410,2444,72,81,18,19,-9,-1,"5"
2011,50410,2438,96,97,19,26,-1,-7,"5"
2012,50410,2449,85,73,13,16,12,-3,"5"
2013,50410,2469,73,68,26,9,5,17,"5"
2014,50410,2486,91,88,6,12,3,-6,"5"
2015,50410,2477,96,93,18,12,3,6,"5"
2016,50410,2501,121,89,24,12,32,12,"5"
2017,50410,2555,90,122,19,11,-32,8,"5"
2018,50410,2533,105,87,20,25,18,-5,"5"
2019,50410,2554,92,77,9,13,15,-4,"5"
2020,50410,2574,82,88,12,10,-6,2,"5"
2021,50410,2558,125,92,22,11,33,11,"5"
2022,50410,2618,105,106,30,24,-1,6,"5"
2023,50410,2647,132,95,10,12,37,-2,"5"
2002,50411,3677,67,74,55,53,-7,2,"5"
2003,50411,3700,61,75,61,50,-14,11,"5"
2004,50411,3716,61,77,84,59,-16,25,"5"
2005,50411,3762,71,82,61,79,-11,-18,"5"
2006,50411,3751,69,94,46,66,-25,-20,"5"
2007,50411,3725,52,91,13,18,-39,-5,"5"
2008,50411,3693,70,94,18,11,-24,7,"5"
2009,50411,3689,69,90,14,16,-21,-2,"5"
2010,50411,3680,63,74,13,15,-11,-2,"5"
2011,50411,3691,79,59,27,6,20,21,"5"
2012,50411,3747,43,87,37,23,-44,14,"5"
2013,50411,3725,80,92,51,11,-12,40,"5"
2014,50411,3787,68,112,52,26,-44,26,"5"
2015,50411,3801,57,77,35,39,-20,-4,"5"
2016,50411,3802,69,87,39,30,-18,9,"5"
2017,50411,3811,53,88,46,22,-35,24,"5"
2018,50411,3825,62,96,38,23,-34,15,"5"
2019,50411,3805,52,98,38,21,-46,17,"5"
2020,50411,3802,58,89,26,26,-31,0,"5"
2021,50411,3774,63,95,39,17,-32,22,"5"
2022,50411,3784,74,105,66,46,-31,20,"5"
2023,50411,3784,94,88,58,28,6,30,"5"
2002,50412,1553,50,67,12,6,-17,6,"5"
2003,50412,1551,65,66,11,6,-1,5,"5"
2004,50412,1557,50,55,24,2,-5,22,"5"
2005,50412,1568,44,65,17,2,-21,15,"5"
2006,50412,1569,59,91,19,13,-32,6,"5"
2007,50412,1550,63,81,6,9,-18,-3,"5"
2008,50412,1538,51,64,19,9,-13,10,"5"
2009,50412,1531,37,67,11,19,-30,-8,"5"
2010,50412,1489,55,80,13,7,-25,6,"5"
2011,50412,1470,72,77,20,7,-5,13,"5"
2012,50412,1482,91,51,13,9,40,4,"5"
2013,50412,1516,78,85,46,15,-7,31,"5"
2014,50412,1536,50,98,29,7,-48,22,"5"
2015,50412,1501,85,86,14,6,-1,8,"5"
2016,50412,1504,85,67,30,8,18,22,"5"
2017,50412,1542,74,113,21,16,-39,5,"5"
2018,50412,1492,75,89,25,17,-14,8,"5"
2019,50412,1484,49,81,46,35,-32,11,"5"
2020,50412,1460,78,55,22,24,23,-2,"5"
2021,50412,1465,92,91,20,19,1,1,"5"
2022,50412,1459,93,92,62,17,1,45,"5"
2023,50412,1490,83,105,51,24,-22,27,"5"
2002,50413,972,5,28,2,13,-23,-11,"5"
2003,50413,935,22,25,10,7,-3,3,"5"
2004,50413,941,20,16,5,13,4,-8,"5"
2005,50413,936,12,29,8,5,-17,3,"5"
2006,50413,928,16,24,5,6,-8,-1,"5"
2007,50413,926,20,34,19,8,-14,11,"5"
2008,50413,926,10,26,11,14,-16,-3,"5"
2009,50413,915,23,36,7,10,-13,-3,"5"
2010,50413,903,22,26,6,11,-4,-5,"5"
2011,50413,907,9,23,7,13,-14,-6,"5"
2012,50413,892,18,27,5,2,-9,3,"5"
2013,50413,886,14,28,6,4,-14,2,"5"
2014,50413,883,12,17,5,1,-5,4,"5"
2015,50413,887,27,24,14,6,3,8,"5"
2016,50413,899,18,14,1,2,4,-1,"5"
2017,50413,914,9,12,1,0,-3,1,"5"
2018,50413,911,15,30,2,1,-15,1,"5"
2019,50413,906,11,21,9,2,-10,7,"5"
2020,50413,909,15,23,3,4,-8,-1,"5"
2021,50413,912,17,25,1,4,-8,-3,"5"
2022,50413,906,15,20,3,1,-5,2,"5"
2023,50413,903,19,27,3,5,-8,-2,"5"
2002,50414,759,11,16,11,15,-5,-4,"5"
2003,50414,753,13,11,15,12,2,3,"5"
2004,50414,764,15,23,25,10,-8,15,"5"
2005,50414,777,26,33,109,37,-7,72,"5"
2006,50414,852,23,30,91,77,-7,14,"5"
2007,50414,868,34,32,113,83,2,30,"5"
2008,50414,902,22,29,42,143,-7,-101,"5"
2009,50414,799,19,25,12,22,-6,-10,"5"
2010,50414,784,10,22,15,15,-12,0,"5"
2011,50414,781,12,34,12,8,-22,4,"5"
2012,50414,770,19,21,9,7,-2,2,"5"
2013,50414,768,13,17,3,11,-4,-8,"5"
2014,50414,760,18,19,9,2,-1,7,"5"
2015,50414,770,30,31,5,4,-1,1,"5"
2016,50414,775,15,20,13,5,-5,8,"5"
2017,50414,774,21,14,4,3,7,1,"5"
2018,50414,792,21,20,8,9,1,-1,"5"
2019,50414,798,17,24,8,6,-7,2,"5"
2020,50414,798,15,18,9,3,-3,6,"5"
2021,50414,808,13,14,3,2,-1,1,"5"
2022,50414,813,17,26,13,8,-9,5,"5"
2023,50414,812,25,22,11,9,3,2,"5"
2002,50415,1651,30,55,19,64,-25,-45,"5"
2003,50415,1584,50,41,17,18,9,-1,"5"
2004,50415,1596,34,38,25,18,-4,7,"5"
2005,50415,1605,30,55,21,3,-25,18,"5"
2006,50415,1608,31,46,11,14,-15,-3,"5"
2007,50415,1581,33,50,14,14,-17,0,"5"
2008,50415,1568,52,55,20,15,-3,5,"5"
2009,50415,1566,57,69,15,20,-12,-5,"5"
2010,50415,1552,43,70,15,17,-27,-2,"5"
2011,50415,1524,48,58,17,8,-10,9,"5"
2012,50415,1509,43,78,11,15,-35,-4,"5"
2013,50415,1465,80,27,18,14,53,4,"5"
2014,50415,1508,56,73,20,11,-17,9,"5"
2015,50415,1498,60,60,30,12,0,18,"5"
2016,50415,1500,44,65,13,12,-21,1,"5"
2017,50415,1474,58,65,18,14,-7,4,"5"
2018,50415,1461,32,51,22,10,-19,12,"5"
2019,50415,1444,65,49,31,18,16,13,"5"
2020,50415,1465,53,59,19,14,-6,5,"5"
2021,50415,1444,63,64,18,22,-1,-4,"5"
2022,50415,1426,31,52,31,19,-21,12,"5"
2023,50415,1400,48,45,31,13,3,18,"5"
2002,50416,2184,62,76,16,12,-14,4,"5"
2003,50416,2185,69,92,12,12,-23,0,"5"
2004,50416,2156,92,68,15,8,24,7,"5"
2005,50416,2187,102,74,11,7,28,4,"5"
2006,50416,2230,68,82,10,6,-14,4,"5"
2007,50416,2225,74,99,6,9,-25,-3,"5"
2008,50416,2200,78,81,21,7,-3,14,"5"
2009,50416,2218,92,87,26,12,5,14,"5"
2010,50416,2237,71,105,24,14,-34,10,"5"
2011,50416,2212,95,101,26,15,-6,11,"5"
2012,50416,2219,68,74,22,9,-6,13,"5"
2013,50416,2213,115,110,24,22,5,2,"5"
2014,50416,2231,74,98,26,19,-24,7,"5"
2015,50416,2212,70,93,25,12,-23,13,"5"
2016,50416,2211,104,92,22,13,12,9,"5"
2017,50416,2232,124,78,31,15,46,16,"5"
2018,50416,2292,158,90,25,15,68,10,"5"
2019,50416,2369,121,67,36,14,54,22,"5"
2020,50416,2443,130,64,19,13,66,6,"5"
2021,50416,2511,104,85,25,11,19,14,"5"
2022,50416,2541,76,86,23,16,-10,7,"5"
2023,50416,2535,103,86,16,17,17,-1,"5"
2002,50417,4745,138,153,90,58,-15,32,"5"
2003,50417,4784,158,150,64,60,8,4,"5"
2004,50417,4803,124,167,57,46,-43,11,"5"
2005,50417,4793,163,175,97,59,-12,38,"5"
2006,50417,4826,198,202,50,59,-4,-9,"5"
2007,50417,4834,166,210,78,72,-44,6,"5"
2008,50417,4814,129,212,80,54,-83,26,"5"
2009,50417,4764,193,159,70,50,34,20,"5"
2010,50417,4813,162,139,74,57,23,17,"5"
2011,50417,4885,123,161,51,48,-38,3,"5"
2012,50417,4853,139,239,74,49,-100,25,"5"
2013,50417,4784,150,199,91,56,-49,35,"5"
2014,50417,4797,190,189,62,45,1,17,"5"
2015,50417,4829,228,187,111,53,41,58,"5"
2016,50417,4941,181,245,57,57,-64,0,"5"
2017,50417,4880,159,221,44,52,-62,-8,"5"
2018,50417,4823,167,240,102,52,-73,50,"5"
2019,50417,4804,194,190,108,53,4,55,"5"
2020,50417,4876,190,199,68,68,-9,0,"5"
2021,50417,4878,176,228,97,52,-52,45,"5"
2022,50417,4881,192,183,136,73,9,63,"5"
2023,50417,4947,226,177,123,87,49,36,"5"
2002,50418,10248,354,379,220,148,-25,72,"5"
2003,50418,10354,342,424,253,131,-82,122,"5"
2004,50418,10414,382,392,174,136,-10,38,"5"
2005,50418,10521,413,387,169,119,26,50,"5"
2006,50418,10643,352,413,149,110,-61,39,"5"
2007,50418,10669,395,443,192,176,-48,16,"5"
2008,50418,10697,392,479,174,173,-87,1,"5"
2009,50418,10665,386,435,178,152,-49,26,"5"
2010,50418,10690,390,443,162,143,-53,19,"5"
